age,income,credit_score,loan_amount,loan_term_months,employment_years,debt_to_income_ratio,previous_defaults,number_of_open_accounts,loan_purpose,defaulted
63,44802.84,668,1763.6902306887425,13,0.0,0.3317825013719344,0,1,home_improvement,0
34,45063.69,512,4554.28574983974,27,2.145788004191964,0.5699212194780402,0,1,small_business,1
28,30325.46,492,6900.021875967906,48,1.5221194463481331,0.1872403524308893,3,1,education,0
22,55669.76,526,2399.3335770649605,18,6.1773985719512945,0.4149900043721259,0,1,auto,0
51,34676.74,484,2410.7368643580185,10,7.943968956118371,0.4243783865967387,0,1,home_improvement,0
24,21771.13,608,5562.536221335505,30,3.477667942057189,0.3132964777503503,0,1,auto,0
44,52468.44,612,2053.9168970728206,18,9.410626846409432,0.5718556121153827,2,2,home_improvement,0
28,38967.29,436,4924.890476142496,24,1.8491964060275345,0.5394529722917721,0,1,home_improvement,0
18,32870.37,600,5600.127389957524,12,0.386524877305558,0.20442887316132338,0,1,auto,0
27,39612.0,396,1254.721023285397,12,4.027896366833245,0.5734626213981386,0,2,home_improvement,1
33,37841.23,562,4763.695094900534,42,1.783046906440432,0.5226730532400944,2,2,home_improvement,0
27,40564.54,526,3118.714663960327,18,1.6918859249876583,0.6161492656638705,1,1,home_improvement,0
22,19591.32,508,14753.105963531712,48,2.2970059792990805,0.2788600837931451,3,2,auto,1
74,51362.73,560,5793.184383235009,9,7.86465315060056,0.3204574919081152,1,1,auto,1
35,42795.77,634,7719.524657240989,36,5.482476899541673,0.422348296470648,0,2,small_business,0
60,37031.56,526,937.4597263976972,10,6.863354418974142,0.6192581667371864,2,2,auto,0
27,30733.0,490,2188.0513754301646,6,8.030556426494428,0.32927039184884993,2,2,home_improvement,0
63,52962.86,426,3387.4407976884886,24,7.91969565090662,0.520652755006809,3,2,auto,0
18,40135.49,450,733.8670594230385,12,4.800543453393507,0.5988175216019467,0,1,home_improvement,1
37,30431.82,458,11598.117671815264,48,4.272816133207476,0.48996480240656015,1,3,auto,1
23,35643.61,348,2552.3650958061994,18,1.8113809388698787,0.5926809327419773,2,2,home_improvement,1
45,37581.13,454,1103.5078116540774,12,4.0288206137314155,0.3116568214892188,3,2,auto,0
45,32948.82,472,4646.9092178103265,48,4.28532341422907,0.5298501591063877,0,1,auto,1
32,43509.3,556,1106.733386680761,18,2.0110005674739844,0.5979622598191403,1,1,auto,1
42,69762.37,466,18298.690166484645,36,0.0,0.32808602306049856,1,1,debt_consolidation,0
28,78758.02,470,2340.0541469454606,30,0.35870507655569916,0.5695993219972864,1,2,home_improvement,1
28,38580.11,520,9751.838436644122,48,0.4034806146278928,0.190984715694788,0,2,auto,0
18,36090.67,512,3884.1935261596072,30,1.910960918911422,0.32065347330419,0,1,home_improvement,1
37,27319.93,460,843.0959944726965,12,1.8487627014825059,0.5499040316166656,0,1,education,1
58,53549.22,522,2400.918449357498,36,8.339309920957511,0.5828268107270348,0,1,small_business,1
31,43060.64,532,4223.220290867739,12,1.6897014505207573,0.16520583140728465,0,1,auto,0
24,18562.65,588,1792.0803016008376,18,2.026152244819756,0.3429074370410797,0,1,small_business,0
26,36962.14,444,5692.100540491926,45,0.0,0.4505939008101299,2,1,auto,0
26,28530.24,416,4168.605437371809,12,7.492778548163173,0.19220639380222854,3,3,home_improvement,0
33,72502.31,428,2179.607301656358,12,0.0,0.5385748419207325,2,2,auto,0
36,48599.82,378,1092.2415859087887,6,6.442850846139732,0.1745731578131546,2,2,auto,0
22,33824.73,484,1986.2028292643809,9,0.35665725637025314,0.6101173181711138,0,1,home_improvement,1
24,37051.82,528,6755.779049462524,36,1.709622315627256,0.5440817416129714,0,1,home_improvement,0
36,32180.0,506,7223.35923954152,48,2.1249587563393897,0.5408108264497611,2,1,small_business,0
26,56931.05,494,16576.69233075544,60,3.9817866970765,0.5276866455350943,1,1,auto,1
29,33538.74,442,2706.3934411280793,36,1.8038327567114179,0.5912803713869094,0,1,home_improvement,1
57,57763.0,570,16981.678785376775,60,8.5808554344295,0.3756115651846297,0,2,debt_consolidation,1
57,36710.58,494,869.430642716304,12,7.422941872214334,0.5557169703619758,0,1,home_improvement,1
23,30140.58,426,2800.8430159102827,15,0.0,0.17892320346838103,0,1,auto,0
29,26113.11,584,4982.475072399584,27,0.35703256837320735,0.5573250685507815,2,2,home_improvement,0
47,31151.72,604,1570.594870611318,24,7.8867532459403344,0.5865705457413718,0,1,home_improvement,0
44,31309.95,584,1549.2997128728084,15,1.8310145038606052,0.30276862988173103,2,2,home_improvement,0
18,35907.49,470,3306.095036768336,24,2.1965159449811305,0.3069809789986325,0,1,home_improvement,1
32,52261.85,510,7778.74786991222,36,1.932963435779051,0.2751129673114022,0,1,auto,0
19,40082.43,582,11524.540928678716,60,3.352943151738966,0.30153764184075826,0,1,home_improvement,0
59,79692.26,610,7602.750650197166,20,0.0,0.17482390951844037,1,1,auto,0
39,52285.57,640,1020.493505597794,10,3.4300756140267703,0.5708128001928198,0,1,education,0
35,34402.15,450,2988.5623645198375,24,0.4019703251979365,0.5540074009882404,0,1,home_improvement,1
18,43642.95,420,1179.60355079157,12,2.071587123368871,0.3036780796867617,0,1,home_improvement,0
50,33197.9,500,1252.2431610482145,6,1.9392975651702946,0.31562270448031277,2,1,education,0
63,66628.11,552,2186.308872094432,30,6.994785743154845,0.5300886174740363,1,1,small_business,1
28,41807.82,570,847.4511335053174,12,1.5902912131123372,0.5216142678361282,0,2,home_improvement,0
23,39361.57,410,6285.489164193085,39,4.099564804555069,0.2606625014317974,2,2,home_improvement,1
47,32076.24,570,3129.983700166352,36,1.708344716136164,0.559729146676348,0,1,home_improvement,1
24,23373.03,624,840.2749434517224,6,0.42149775398313816,0.3123302568340677,1,1,auto,0
36,26320.09,376,2642.320584627939,12,1.7774997259463272,0.5602150971584288,3,2,auto,0
27,36500.52,508,1593.5756428093885,9,4.376319524727837,0.30068956590752777,1,1,auto,1
43,57633.29,388,7756.835064934846,24,7.020227042347855,0.33321069088726796,3,2,auto,0
23,39336.83,450,17537.634215281178,48,2.1484580975065195,0.2973601200176869,0,1,small_business,1
30,36378.89,440,1893.0864075845527,12,1.6210445059435075,0.34799542890048096,0,1,home_improvement,0
37,27146.35,516,1580.1470947014839,15,7.145126702510664,0.5517575758869105,0,2,home_improvement,0
24,40133.56,542,2026.865361828447,30,2.0200281998921295,0.5324584752842946,0,1,home_improvement,0
19,34176.97,482,3160.4771343705884,18,2.2940444058274414,0.1826045097886019,0,1,auto,0
49,46836.63,510,1705.6211409081504,15,6.068674247636431,0.5593032331915904,3,2,home_improvement,0
25,40350.49,430,2615.5260663730282,9,1.5571543537597021,0.4476982979576251,0,1,home_improvement,0
22,43126.77,476,1138.0328713182555,12,1.992560466380623,0.6294309770668681,0,1,auto,1
37,72356.76,588,2140.523459882266,12,9.079518134848287,0.5668908582479398,0,1,auto,0
34,39551.47,578,4173.931771214241,30,2.0850293281243997,0.5875478365549536,0,1,home_improvement,0
27,40668.94,570,5191.809770591066,15,2.054110081409832,0.4627624476997401,0,1,auto,0
48,46430.33,612,1837.5235527723833,6,3.53817739519772,0.4493272008603928,0,1,home_improvement,0
30,41789.38,520,2145.137262229739,18,1.9404870792703184,0.6309964685010458,2,2,education,1
32,62510.88,498,7398.91290331604,36,8.011050987934354,0.5498881371233315,3,2,auto,0
39,61603.33,620,5417.94592508167,15,1.9281867450254684,0.41956420141423356,0,1,education,1
26,38429.67,622,1698.2738283528254,12,1.9510888428085313,0.287821825344319,0,1,auto,1
30,64485.7,630,2808.4128235858143,30,8.253870873815153,0.5520969728233637,0,1,home_improvement,0
62,44849.11,638,1568.5616876160457,10,1.26623441655985,0.27012474489648197,0,1,auto,0
37,31815.73,434,1439.0221523832984,9,5.462786932243356,0.3246050165622869,3,3,home_improvement,0
25,21073.53,430,2935.1061977341888,18,0.0,0.5367768064627984,0,1,home_improvement,1
35,58606.77,582,1618.0446876343951,24,7.586406046455919,0.5851682909381186,1,1,home_improvement,0
42,75580.99,650,3917.51181694821,12,0.3555304094635348,0.319310415762827,0,1,auto,0
46,34359.48,474,1614.9312804494716,18,1.54161455705191,0.5186943748033541,0,1,home_improvement,1
19,44118.11,514,1767.322767599189,15,2.28000036417617,0.6374873147062754,0,1,home_improvement,0
48,23626.54,672,2800.4558495760425,9,7.292346625685646,0.2968041055745287,0,1,auto,0
26,40439.09,538,1312.6463519986394,18,1.9241021144589265,0.5313844204626502,3,2,home_improvement,0
23,29739.92,492,764.304789263168,12,0.4217007321957377,0.5470848416429084,0,1,home_improvement,0
63,18801.4,592,1807.86511697611,12,0.0,0.32168003122767536,2,3,auto,0
21,24747.2,346,7580.211174411332,36,0.372031370076557,0.5231991322334223,2,2,home_improvement,1
36,19665.63,506,1117.458519557103,12,0.0,0.19696479622605917,3,1,auto,0
39,36490.01,488,1043.8212985688524,6,3.44008922685342,0.18896909286239114,2,2,education,0
44,48323.09,574,4183.338248493565,48,7.452249835279932,0.5553464653030297,2,1,home_improvement,0
23,37826.66,610,1059.7060486315554,24,6.239345045056583,0.5242517854680188,1,2,home_improvement,0
32,36044.51,564,8198.625135588894,48,7.046549301363864,0.43992129788253553,1,2,home_improvement,0
30,59576.4,570,2202.2096364699596,18,2.0655089089508207,0.3067941684062344,1,1,auto,0
30,69640.72,464,19946.34768319885,48,1.9644328195779188,0.1629641905637167,1,1,debt_consolidation,1
25,56813.57,566,4338.328395432418,36,2.1118381971399542,0.573057811227114,0,1,home_improvement,1
36,78192.67,568,8008.395256248134,18,7.75127585107961,0.2934004518765728,0,2,auto,1
57,36590.14,516,17851.049167075347,54,0.4332767261249624,0.4280728541776202,0,1,small_business,1
43,34421.06,406,1630.4718578321372,12,1.6294236652829968,0.5300980440132593,1,2,auto,0
20,39891.02,556,2340.878700309314,18,0.4358282903716747,0.5490453620301958,0,1,home_improvement,1
20,22407.86,476,2265.311147000767,18,3.8103991530781243,0.3028476059036566,0,2,home_improvement,0
22,39507.5,426,1807.438243203752,12,1.780628966943432,0.5479522655103746,0,1,home_improvement,0
20,41424.9,526,1159.1307171721521,12,3.9528350270760404,0.5452359262682026,2,2,home_improvement,0
30,40496.89,402,3651.0187063360436,18,5.13250566482803,0.41779312296735405,0,1,small_business,0
33,41811.83,552,8122.458251561453,30,3.7095762551279785,0.33212710689709146,2,2,home_improvement,0
28,37386.05,632,4121.082489375092,24,7.981238089738579,0.44912929228364884,0,1,home_improvement,0
40,33445.51,524,7511.482852572365,60,1.9796090662678347,0.5805952242647681,0,1,education,1
30,33832.34,622,3468.5247144818363,10,0.37985600309954437,0.20284841945741583,0,1,auto,0
23,24839.3,530,2854.9975538090684,15,0.33547058338540975,0.30101840455215767,0,1,home_improvement,1
27,36269.12,490,1491.0247809639977,9,1.588455807699698,0.44866619253518697,2,2,auto,0
19,30346.83,424,1529.4888957196852,9,0.3173910127614301,0.421325488626214,0,1,home_improvement,1
49,49694.2,398,1184.6549378928405,10,4.722909616623718,0.5305933163208798,2,2,auto,0
64,75428.22,574,1501.6303094085677,9,3.6898285673981768,0.6082817913905294,0,2,education,0
21,35902.31,518,7036.0379391427,72,1.5718570406919288,0.29453914629125877,0,1,home_improvement,1
26,36937.48,434,4853.650150678104,24,2.1134906988088056,0.36123408541401786,1,1,home_improvement,0
27,41634.74,570,9482.213958761911,36,2.028260461415465,0.21557303299075994,0,1,auto,0
31,41783.46,428,7080.39068357832,36,1.8655995788699586,0.37592712429895386,3,2,auto,0
43,33741.44,468,7530.888006889745,18,1.7418092346430527,0.33011473142844844,1,1,home_improvement,0
28,64821.01,632,3067.1379483696246,21,2.6173421407233644,0.1769465637625591,0,1,auto,0
37,64185.14,440,8725.67199083639,18,0.0,0.5817187797380122,2,2,home_improvement,0
27,28512.77,484,8233.337894800005,60,1.829726929653288,0.18937186155603927,1,1,home_improvement,0
42,49798.35,470,2664.5191406920503,24,6.4155681961015345,0.46993305759407084,0,1,auto,1
20,40074.22,494,2136.2937985920616,18,3.5293404527409753,0.5653172253767086,1,1,home_improvement,1
20,30457.01,486,1942.0721165932778,12,0.47722964153986464,0.20297850964345845,0,1,home_improvement,1
31,30084.2,588,1685.3809481699864,15,5.782045677714061,0.5704901825918283,0,1,home_improvement,0
40,39152.34,620,9092.893643786285,28,0.38906532840482166,0.4896921656433039,0,2,auto,0
33,40882.96,562,1548.0086280672758,24,1.6707252470147655,0.29759987569624685,2,2,small_business,0
26,38520.84,502,3353.7502555108717,33,1.918240912531396,0.3501482977508365,1,2,small_business,0
26,38631.67,484,11194.887369480368,60,1.5662935937496631,0.31183311603573366,1,1,home_improvement,0
38,31959.31,548,1172.1385308890974,12,4.771709372933152,0.4002445119813488,0,1,small_business,0
21,28076.57,416,9941.04716351345,18,1.7854698284211232,0.1939295378633536,2,2,education,0
44,51761.83,604,3958.8155952917605,18,9.186573032649596,0.6237255179242266,0,3,home_improvement,0
26,45341.26,378,8577.851040358226,36,2.2112827469095127,0.568885814376133,1,1,education,1
26,47045.96,434,1668.1630036608524,9,0.32829525382675917,0.4436520614949926,0,1,auto,1
29,40764.83,572,1644.998024051501,24,1.6168851786602518,0.3145735377029955,0,1,auto,0
22,32410.08,456,1847.374766541772,24,3.3906972380020166,0.37617178088169667,1,2,home_improvement,0
26,27412.96,482,3134.0514517236393,24,6.480085229416696,0.35312159035207275,1,1,auto,0
35,31140.07,372,3375.257892955836,9,2.17700397401253,0.35056772574547407,3,2,auto,0
36,43095.88,432,994.2619756357515,18,9.10686638033592,0.6164477789669484,2,1,auto,1
28,63942.73,420,6059.948197489478,48,1.7211451654057686,0.32112228179976493,2,1,home_improvement,1
24,40948.59,484,4403.345701701901,18,4.713854375587077,0.4403538960457775,2,2,auto,0
34,45392.25,504,2507.106589046279,24,1.8570655420916498,0.5511508560731704,3,1,auto,0
32,64332.29,506,5246.431833253207,18,7.206729743047653,0.20651684313712068,0,1,small_business,0
33,45539.73,452,2196.9378530992817,15,0.36665630748788014,0.32903534066605084,0,1,auto,0
34,43310.44,448,1967.8084518096277,36,0.413715200773884,0.5208318993309049,0,1,auto,1
33,40337.63,496,6430.3771723001855,24,5.467816154201442,0.5458449358786475,2,1,home_improvement,0
31,74155.06,428,1835.7223520524062,9,7.113500881821401,0.31961556008779823,2,2,education,1
21,27350.97,424,4746.251686504651,14,0.0,0.18092142491185378,0,1,auto,0
56,33745.6,654,1623.2736465132145,24,2.0759217336905396,0.4572529122731389,1,1,home_improvement,0
25,38791.94,540,3315.813350621422,30,8.234017913650021,0.35291428094785915,1,1,home_improvement,0
55,53305.47,710,1682.358976130236,12,4.676203361616665,0.4936967625626732,0,1,auto,0
20,28489.05,552,3192.8671920969587,27,2.0331847109938717,0.4572037595357536,1,1,auto,1
23,29883.48,532,5170.657394138555,30,1.9625027516057285,0.29476608743468075,2,2,small_business,0
38,36890.2,586,2233.9052661510436,10,1.667814022173133,0.19935214929519326,0,1,home_improvement,0
37,62754.16,460,5209.672352371041,18,7.756614529740463,0.5186580147241225,1,1,home_improvement,1
42,69438.39,594,12016.67061978734,60,7.123645015145725,0.3028493124564716,0,1,auto,0
28,69104.29,472,8817.582776695353,48,0.0,0.29894615125104407,2,1,debt_consolidation,0
43,31865.59,650,1490.9687032836262,15,5.26530578193011,0.554525958366606,0,1,auto,0
24,41119.33,432,10143.995205995181,36,2.1452248095484165,0.3191739620309781,0,1,auto,1
42,33933.74,596,8839.123455665187,24,1.630386929933227,0.20057677899334792,0,1,auto,0
50,58428.71,676,3702.0049327539055,24,7.4634065360587085,0.44657122308891567,0,1,home_improvement,0
24,42013.96,480,7054.166484959318,30,5.169333624849531,0.5036356824755478,2,2,home_improvement,0
40,79250.88,510,2186.224554916021,36,8.407780157081135,0.5853667255306024,0,1,education,1
49,39191.73,532,9164.38262774916,18,7.026429599146949,0.19729322676139766,1,1,auto,1
49,52101.14,564,2502.1194705016037,24,10.012911374778422,0.5931915882159431,3,2,home_improvement,0
23,39954.58,488,1442.5788380805539,8,2.137712765747705,0.41892707296110837,0,1,home_improvement,1
33,42814.62,590,1889.794351835532,12,3.6627566259687567,0.4330538223167596,2,1,home_improvement,0
22,40549.42,484,2294.855649903109,24,0.35221575092945545,0.18230628049916514,0,1,home_improvement,1
35,51547.99,586,9023.056817827412,24,4.702906453920491,0.46226454585561233,1,1,auto,0
26,67942.62,502,5115.972218514419,36,2.087850789252456,0.4955128530377261,1,2,home_improvement,1
30,56476.37,554,746.6517415377677,18,7.915785162711096,0.5457792540878393,3,2,home_improvement,0
31,28882.35,472,11595.027286703878,36,3.461861487727523,0.20383012102098597,1,2,small_business,0
28,51943.0,416,4991.687377551433,30,0.0,0.5456620557851816,3,2,auto,1
21,60044.66,518,9373.461418534389,60,0.41802201431975694,0.6117351120836062,0,1,auto,1
28,31106.86,502,1836.0334834132736,10,2.354046415069181,0.592234165669691,1,1,home_improvement,0
27,69728.98,566,3512.4209171065168,21,1.9182111073736428,0.16478728691106992,0,1,auto,0
56,61856.97,554,17680.79639331815,36,7.311098500007201,0.5312178071215501,0,1,auto,1
55,59861.18,504,1567.2034054966598,24,7.290723552645698,0.6322283288306536,2,2,home_improvement,0
26,27387.94,564,1171.167790938162,24,0.4011559722664682,0.5006930573253109,1,2,education,0
38,33327.22,520,1301.9710936440904,12,5.688392963019517,0.42042883394820324,0,2,home_improvement,0
22,34217.32,538,2509.325471346959,6,1.775395869559956,0.18875929603538524,2,1,auto,0
39,42214.35,642,3851.066280615963,21,7.381558353562646,0.571958853541635,0,1,home_improvement,0
30,43498.97,542,5493.670028042545,36,7.86674769609432,0.6218488990381661,1,1,home_improvement,0
41,46265.91,568,4087.713128683567,20,0.3719539059739895,0.29280148158617464,3,2,auto,0
27,29329.03,480,3963.875004928037,24,0.362913217770009,0.5670775586573704,0,1,home_improvement,1
44,33704.92,518,6254.259174769975,24,7.0028563085251205,0.4589054160554732,3,2,home_improvement,0
35,50293.32,586,933.9043916024802,12,7.581363332319738,0.5511083566145842,0,1,home_improvement,0
49,32359.67,458,3504.126840195634,12,0.401726676049582,0.17658557258444518,2,2,auto,0
23,40877.9,492,1493.6840875085086,24,0.3945989928321985,0.5456525806721586,0,1,auto,0
24,30842.05,612,2821.594677453856,12,0.4249823918444206,0.28804157068454933,0,1,auto,0
34,39689.23,500,1463.175310858683,12,1.7714535674810525,0.5618168696420759,3,2,home_improvement,0
52,56686.62,618,4262.9282338033345,15,8.1225354786019,0.6015089615963144,1,1,home_improvement,0
54,20772.52,410,1410.5534865988445,18,0.0,0.30201232688109886,2,3,home_improvement,1
26,39309.23,544,4251.645032049628,36,1.794597104793074,0.32581866280690597,0,1,education,0
22,36615.94,488,549.065110669737,9,2.2339242323378374,0.4892929668977342,1,1,home_improvement,0
23,33292.75,428,1386.4693933158715,24,0.33097586074376323,0.4948414265244122,1,1,auto,1
44,49318.63,598,2863.0587870307772,24,2.053927560566668,0.6072249678236682,2,2,small_business,0
40,47088.42,514,3926.0821822804432,12,6.878347339704395,0.30877738432871976,3,1,home_improvement,0
24,31929.34,592,4259.741962284008,9,1.9097941565303982,0.19253201957751478,0,1,auto,0
22,34717.09,478,1480.2075181866323,15,1.4922066469820856,0.5083621401404894,0,1,home_improvement,1
28,50450.91,436,2987.8509997138053,21,0.4638205017056221,0.5275590267941646,0,1,home_improvement,0
28,40606.87,498,1315.6070042534666,12,4.96406923232686,0.6045399573378012,1,2,home_improvement,0
23,38259.48,532,2120.275196759047,24,1.6982530592333878,0.31130968304588014,1,1,home_improvement,0
25,39170.03,496,1334.1851212929744,6,6.4905255545751395,0.5850786636332189,0,1,home_improvement,0
22,35947.31,480,9089.927400237157,36,1.4745375462267947,0.5628780765451744,2,2,auto,1
39,29696.81,442,7643.946910888465,42,4.259785164693894,0.3357003897618425,2,2,small_business,0
29,34005.33,508,9415.030064475086,24,7.727306374839726,0.30105736484116036,2,1,auto,0
32,42661.6,518,5235.013906983783,36,2.025707316554441,0.47881169897068415,1,2,home_improvement,0
27,29468.84,488,2682.61234706155,24,0.3983993441079807,0.527282230151955,1,1,home_improvement,0
33,47333.29,546,2323.8859385880014,24,1.635754883693607,0.4525143143387961,2,2,education,0
35,22173.11,560,1863.6619297075863,9,0.43031430245184427,0.5714339084838279,1,1,auto,0
28,40092.04,550,2436.756847429664,12,2.2746397036789343,0.5522850400682435,1,1,auto,0
32,43626.85,500,7138.809795547794,36,7.2198252400906915,0.3358687694218796,3,2,auto,0
29,40472.26,438,7802.943393477527,24,0.0,0.5400373426476971,0,1,auto,0
37,33765.15,374,4548.138064887334,6,1.8272270830317034,0.17324865511374613,3,3,auto,0
47,36138.61,524,9515.58906271076,36,7.1399403938972945,0.4615860764563647,1,1,auto,1
58,46221.6,676,2184.069026435018,30,8.404275198799805,0.5368005841155721,0,1,home_improvement,0
